Serial No,App Name,Review Comments
,,blood. sugar. random. 126.0 mg/dl 70-140
,,"Complet info i needed on blood plateletes,i recommend it."
,,I learn more from this document.
,,Us to treat diseases
,,its ok for a basic understanding
,,thank for struggling
,,good app like it
,,I am yet to know
,,Ok nice
,,good work for all
,,Useless stuff
,,nice
,,"Good, useful"
,,nice app
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,amezing stuff
,,good
,,nice
,,good app
,,love it
,,c
,,good job
,,user friendly
,,very informative
,,excellent...but upgrade into detail explanation ....maybe with diagrams
,,useful
,,informative
,,NICE
,,perfect
,,good
,,"I love this app .. Saw first when i was searching something else and saw this app... After checking
 the ratings of this i qas installed it and now got too much knowledge from this app"
,,Good app. Thanks
,,"Good job, but explanations is deeply scientific"
,,I am a new user.
,,Its a good app
,,nice app
,,100% EXCELLENT
,,great job
,,"It's what I've been looking for; I have a couple of friends with blood problems, and this app will help 
me help them. Fantastic work."
,,This app will help me to increase my knowledge.
,,Please detail hindi ya Marathi language jo samaj sake
,,very well app for knowing about blood dieases
,,Might be a good thing to me.
,,Super its more useful
,,I think so much appreciated
,,I like this application. it is very useful for medical profession.
,,It's really interesting
,,This is what I want
,,Superb this is a good app
,,Very good app
,,include more article
,,Very nice app
,,very informative
,,Very nice app
,,Very fine app
,,Very fine app
,,Please explain with videos
,,Excellent app
,,very good
,,Excellent app
,,very nice
,,quiet ok
,,Useful app
,,nice
,,"The application is beyond description. It's very good for both health care professionals and any 
other person whose health is important to him or her."
,,but I can't see the Multiple Myeloma
,,but I can't see the Multiple Myeloma
,,good but need more topics/diseases
,,Its A use full app
,,Excellent. Great detail.
,,all is well
,,A nice
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Dharam jeet chaudhary 894@gmail. Com Health
,,Hiv AIDS allocation Nop care
,,See whAt I have
,,It's good for study material
,,It really helps me a lot .
,,please translucent toshiba urdu please
,,Learningfull
,,thanks great job
,,Nice Ok good
,,thanks
,,Ilike
,,Nice application.
,,useful
,,Awesome!
,,very good
,,Nice Niche
,,good knowledge
,,is good
,,Nice app
,,it nice
,,Nice
,,excellent
,,good
,,excellent
3,ACC Guideline Clinical App,
,,"Great app to get the heart basics down, also love the continual addition to the media gallery! Some
 considerations for the designer are to maybe keep the labels on screen as you rotate the 3d model 
because they diseappear, also have an option to keep the animated motion going as you rotate the 
heart as well because right it stops. Also maybe add an EKG tab. Thank you!"
,,It doesn't work. Always freezes and asks to close the app
,,too many crashes when selecting various options. Waste of time and space!
,,"APP will not run. Great Graphics but continually crashes after a second on Samsung Galaxy S6
 running Android 7.0"
,,Excellent visual compliment to help explain to patients their new diagnoses and plan of care.
,,Would be great if it did not keep on crashing.
,,"Keeps crashing when I press ""label"". please fix"
,,Why not introduce about EECP therapy and collateral developments. .
,,Absolutely fantastic animations!
,,Perfect app for self cardiological study
,,crashes like it is texting and driving
,,"wow iam impressed, alot to learn,"
,,"good knowledge. please how heart rate monitor . check please update function imporve. .
 diat plan please what is healthy heart problems eat.. more videos please update to request."
,,good app
,,Fantastic
,,amezing stuff
,,Good app
,,excellent
,,top
,,"This a solid app...! The animation is top notch especially including contextual disordered situations
 of the heart. The parallel EKG/ECG was a brilliant choice. Patients, Doctors, Students of Life, 
Health Nuts will enjoy it. Just exploring all aspects so this is all I got."
,,Congratulations. !!!. Works perfectly. Patients love it. Excellent Job. I love it.
,,This is the best app I come across so far and thank you very much
,,Excellent tool for clinicians and patients!
,,"So so so fantastic app for everyone who love heart and like to know about heart's function, lovely
 lovely app, billion likeeeeeeeeeeeee"
,,helped in understanding heart functions....... Awesome learning tool..
,,Great learning tool
,,Perfect for pt education on the floor. Can't wait to use it
,,"Fantastic app, thank you so much"
,,Amazing!
,,Excellent app on cardiology
,,Excellent graphics
,,Amazing
,,"Not that I am anybody special, but I am an atrial fibrillation coordinator, and I use this app at least 
once a day with patients. It is a great source for patient education."
,,I cant install it 🙁😐😑
,,Best learning tool!
,,I think it is enough to understand heart for intermediate level 
,,Very very educative.
,,good app
,,Eh
,,uuu
,,have
,,best app
,,Cool appd
,,Great
,,good
,,good
,,good
,,excellent
4,The Heart App ©,
,,"Excellent depiction, gets frequent updates, highly recommened for cardiology residents and well
 as consultants."
,,"This app was working very well until I upgraded it few days ago, it simply stopped working! I 
removed and reinstalled it over and over which didn't help, finally called ACC One agent transferred
 me to another and I ended up in a voicemail without any return."
,,"Quick easily available reference with frequent updates. Well structured information that is easier to 
recall."
,,Thank you for this app..my dream for studying cardiology will be start with this apps
,,No update Unfriendly using
,,"Won't run without access to my files photos and media? Please remove unnecessary mandatory
 permissions if your purpose is truly to help patients and healthcare professionals."
,,Really good to hold guildlines in mind
,,It would not let me use unless i gave access to my pictures and socisl media so i uninstalled.
,,Best App for cardiology
,,Superb app I love it
,,i am new with this app
,,more than perfect
,,deserves each star
,,Excellent
,,Excellent
,,"Since recent android update, icons are vanishingly small and unreadable. Have tried un/re-installing
 to no avail. This previously excellent app has been rendered useless"
,,"The app used to work seamlessly on my MI tab.. but since the last update, the app simply wouldn't 
open and crashes each time. its good to have updates, but not such that the app becomes defunct 
on slightly older devices. kindly make necessary modifications so that it continues to work just as 
perfe..."
,,"Why does a guidelines app need access to my files? No, I don't think so."
,,Didn't work at all on Google Pixel.
,,Crashes on starting on HAWAII MEDIAPAD T8
,,AMAZING very user Friendly informative
,,Its very easy to use and very fast to review
,,Excellent experience
,,Excellent app.
,,very helpful
,,very helpful
,,Best app
,,Fantastic app
,,great
,,great
,,Please update valvular heart disease and add syncope guidlines.Excellent work by ACC.
,,Current guidelines and risk calculators.
,,plz add exit option for application..otherwise excellent app
,,I am a practicing Pa for 18+ yrs & a PA professor and I highly recommend this app to all my students!
,,Thank you for such a wonderful app . All the most impoRtant guidelines at fingertips
,,"Great app, please update and add congenital guidelines"
,,Excellent app. I like it. Very easy to work with it. Thank you so much.
,,Wow
,,I am a Cath lab RN and this is very helpful
,,Very easy to revise important points of guidelines
,,Excellent straightforward reference
,,Can make it completely offline
,,Prompt
,,Veey useful app.. keep updating
,,Very helpful and updated
,,great...superb!
,,Excellent app
,,Excellent app
,,Good app
,,"Why the my tools tab is not working anymore. It just hangs and shuts the app. And no change in it 
after reinstalling the app. Any new bug?"
,,"Cardiology APN Loves this app! Everything you need all in one place, from the source...what more could
 you ask for. Use daily!"
,,Umm... what?! What's up with all these new permissions?
,,A must app
,,Excellent Very informative
,,Very helpful app. Thank you
,,Dr A.Muqtadir Excellent
,,Great apps
,,"No way to exit the app except by pressing the Home button. The back function also goes though ALL 
previous steps even from PREVIOUS usage of the app (a day or a week ago, for example) There should 
be a SMART back function. The app content is good, but the implementation needs to be improved."
,,Wonderful Thank you so much for creating this wonderful resource.
,,Awesome Great for students. Currently on clinical rotations for pharmacy. Updates often. Easy to use.
,,App display crashes
,,Very Very goode
,,Excellent.
,,"Good app It works good. Would like to see all the guidelines in the app not just the ones that got recent 
updates."
,,Bug fixes???? Permissions Why do bug fixes need all of my personal data?? Uninstalling....
,,Excellent
,,Simply the Best !
,,good
,,"The app sounds very helpful but the disease states icon is very small and the guideline section that pops
 up is also very small it is illegible for me to use. Maybe I have the settings wrong but I've tried to change 
it. Please help, thanks."
,,"Ok but needs more Avialable guidelines are ok but a great many more are missing and not yet included. 
Please incorporate them."
,,"More guidelines? Please add STEMI/NSTEMI, Cardiac Rehab, heart rhythm/Internal defibrillator and 
pacemaker guidelines and appropriate use statements."
,,Good app Lacks the essential stemi and nstemi guidelines..plz add those..
,,Needs more topics & alot of updates
,,"It's fabulous, compact.. Great app.."
,,Very good but icons coming small
,,"Pls more guidelines, stemi and others"
,,Doesn't involve all Acc guidelines
,,Guideline clinical The acc guideline.
,,Please add all guidelines.
,,Great and very useful app Please add remaining guidelines also
,,Very useful app Easy to use. Suggest close button for application.
,,Ok
,,More than five stars
,,nice app
,,Excellent app
,,excellent
,,"This is useless. The older version was amazing. Journal scan, quick access to articles etc."
,,Amazing app ...waiting for more guidelines... It ends arguments really quick
,,Tanks But your app have not cpr guidline
,,Finally ! Waiting for the rest of the guidelines and more
,,No more guidelines..? Until full guidelines arrive
,,Lot to be improved Still lots of guideline to be added..still CAD topics not added
,,Nice summaries It is very precise and helps many clinicians
,,"Need more complete guidelines,overall it was good"
,,"I was looing for just a brilliant app like this and here i found this. Thnku All info at one place no need to 
search anythng in googles just one click and here it is. Thnku team."
,,One dayyy...I makee Fabulliouss
,,Wonderful app.. Loved it.. Very easy to understand and review..
,,Great Brilliant work keep in improving..
,,It is a very usefull app.
,,Love u I'm try it
,,Great app Easily use
,,its a good app
,,Its easy to use..
,,Awesome app...love it
,,Good app for Good doctors
,,Hiiiiiiiiiiiii
,,Nice one..
,,Very Useful
,,Its helpful
,,Nice app
,,excellent app
,,excellent app
,,love it
,,nice
,,perfect
5,Diseases Treatments Dictionary,
,,"Very useful, comprehensive and excellent App. All the six sections ie. Know your heart, Take the test, INR 
clinic, Health updates, Diet and Excercise and My Records are very useful and provides crisp and precise
 information. I personally found 'Take the test' section very important and accurate. I personally recommend
 you all to download this App and you may find it useful too."
,,Poor connection stability
,,Not a BP monitor
,,Great app.
,,"I am 35 and having heart or stress issues. This app only works if I say I am older than I am. Can not get
 anywhere witj it. DELETE"
,,"The best app ever. No need to go to the doctors for suggestion of anticoagulant dose. Thank you so 
much Rajiv Sir for this great idea.."
,,"Excellent app.Wonderfully designed.The true all in one Cardio app.All text matter wonderfully written,
crisp clear.informative ..includes everything from diet to exercises INR also.Overall superb."
,,"The heart App"" is a sincere effort to ensure that the patient expresses his condition step by step with 
great ease and arrives himself to a logical conclusion. An application designed with a focus to benefit 
the patients who are in discomfort zone due to some uneasiness of heart. A dedicated approach twds.
 awareness related to Heart ailments. Thx. & Great service to the masses by Dr. RAJEEV RATHI."
,,"Awesome....a v useful app V useful for teenagers like me who don't want to go to a doctor because we 
worry they may scare us even if its nothing. This app here with its big range of objective ques gave me 
confidence...and I think I wudnt be as scared in discussing my assumed problems with friends n family 
anymore"
,,"An effecient life saving heart app When my husband suffered a massive heart attack, someone 
suggested me this app. True to my surprise the questions' answers gave perfectly correct answer. 
It showed a 100% blockage in his arteries and an immediate doc consultation. I just regret now that i
 was not exposed to this app earlier, and my husband could have saved on the heart attack. He is safe 
now but an earlier treatment would have proved better. Suggest this to all"
,,"Save your heart and your life! Use this app today and make yourself more aware of how to recognise a
 heart attack. If you have any of the mentioned symptoms, you can take the test to know if you need 
emergency treatment from a cardiologist."
,,"Nice concept People who are confused and ignore heart problems can get do a quick test and see what
 kind of medical aid is required. This can a be life saver"
,,"A true life saver App!!! This is by far the best app with great and easy set of questions that leads to good
 next steps. Thank you Dr Rathi for this wonderful invention.."
,,Thank you doctor I have searching for such app for so many day .as my father has heart problems...
,,"Sucks Don't work if you a woman of 36 have to be over 40 guess my doctors don't know women under 
40 can't have heart problems"
,,"Does not work smoothly Even after ticking the relevant boxes on page 2 it does not move to the next 
page and keeps asking for options. Dr Rathi has not tested the app."
,,Nice app Its given a general idea regarding heart attack.
,,"I am 36 and I have heart issues.. I tried to take the test but you have to be over 40. Heart attacks can 
happen at a younger age."
,,"useful and helpful app very userfriendly app , one can even chek ur riskfactor for heart attack"
,,Great selfless job by Dr rajeev. Hope people use and share it to reduce the disease burden.
,,Wonderful app!! Easy to use and extremely helpful for the entire family. Highly recommended!
,,"Superb app. Really Speaking, i loved this app. This app is so simple & informative that anyone can
 operate this app. Thanks Dr. Rajeev for inventing such an App."
,,Very Useful App to know about heart attack symptoms. .
,,Great app sir . Excellent work and true information...nice Dr Rejeev sir ji
,,Excellent app for every person who cares about his health. Download it now
,,Life saver!! Wonderful app. I hope people use it!
,,It's very useful and helpful for our health.
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,"Love it,easy to use."
,,Very good app
,,Very very useful
,,So Nice app...
,,Loved it!!
,,best good
,,good
,,"Fantastic initiative taken by Dr Rajeev rathi. It inform heart Patient about there disease also how to tackle
 if you are in trouble."
,,"As someone with a congenital heart defect making the age limit 40 makes it utterly useless for people 
who are in the 20s and would like a good baseline to go off of"
,,Saved me in my attack.
,,This is true. App
,,Awesome app Request all are download
,,Very Good App
,,Most useful for everyone
,,Love verma Great
,,Im also recommend it
,,bindassaijaz Good
,,I love it
,,Nice Nice application
,,good
,,nice
,,god work
6,CardioVisual: Heart Health Built by Cardiologists,
,,"This app impressed me a lot!! I really didn't think it would have so much details about everything. 
I have epilepsy and the stuff I have read there about it impressed me really much more then I thought 
🤓 Thanks alot for all the help you have given us!"
,,"This app is amazing! It provides enough knowledge about any disease. The thing which I like most 
about this app is that, it is having an offline feature like you are able to approach the relatable content 
without having an internet connection."
,,"I've been suffering from skin problems now again nd I was not sure axctly wat my problem was,but
 after I've came across this app I've checked different skin deaseas nd the causes of them nd the treatment.its very helpfully nd convenient as its focusing in lot of diseases tht are common."
,,"The illnesses/conditions are not in any order. A sort function would be nice. Each illness's comment
 should be reviewed by a medical doctor. You should have links so a person can look up additional or
 related information. I could not find anything on hpv (human papiloma virus) or genital warts."
,,"It is good though it needs Internet to access the information on this app. What can we do if we go in 
the rural area having no proper Internet connection?"
,,"It's lovely if apps of this magnitude is given absolute recommendation. I will enjoy my time using it…
 Cool!!!!"
,,"Love it good and helpful to human,and also help for quick reaction, cause it makes us understand 
stand say hospital too far from us."
,,"Good app,it explaining on how any different disease attacks, and how to cure on each."
,,"This application has great potential because it has encyclopedic info but it is absolutely full of Ads so it 
takes away the focus on what you are trying to read & learn. It is frustrating because the Ads is very 
distracting forcing you to watch, sit & wait until the Ads finish. This App really has the potential but shame
 about the Ads. I have other Apps that allows me to cancel the Ads by paying under a £ which I think is
 reasonable. I will definitely delete if amount of Ads does not improve."
,,"I am very happy with your application and l will continue to use it. Will recomend it to my friends and 
neighbours."
,,"Good app, there are many things I'm learning and trying to understand them from this app thanks again."
,,"This is a good app for knowledge of diseases and their treatment,useful to patients also."
,,Very accessible for information about health. Thank you so much for having this apps.
,,"Easy to use language,informative snd easy to understand .Has quite s lot of preliminary information that 
helps you understand thd basics of any disease.Even young Upcoming Drs in ICM can use it.I only hope
 it has an offline version and doesnt crash randomly.A first to go source of disease info.More photos 
needed so people can distinguish one from the other easily-Mina Ogbanga"
,,The content & the accompanying narrative are in very good.
,,Still Pictures boxes are empty in many diseases articles even after this update. Kindly fix bugs
,,"It's good for learning and also helps one to understand how he or she can manage whatever situation
 they find themselves but didn't really give a SOLUTION to what I wanted which is the DAK on Diabetes.
 I wanted to see the treatment for DAK so I can know at whatever time this happens, one will know what
 to expect and also what to do. So please it will be very much encountering if I'll get that. Thanks and 
good job to your team of workers."
,,Very easy to navigate & a lot of good information .
,,"This App is so very useful to me.and helpful to me especially to search for the treatment of diseases.
of the patients."
,,"A very knowledgeable app which gives me brief description about the unknown diseases and their 
remedies.. Superb and excellent app..I love it"
,,"Extremely helpful and quick reference material. Especially, useful for essay writers and those who are
 interested in maintaining knowledge of health related sources. Thanks."
,,"As a patient suffering from gout, after reading up on it , made me more aware . So now I just have to followup on the advices given. Happy I found this app."
,,"This app is so amazing to me, I'm a medical practicioner and was surprised when i went through this app"
,,"Yes great info list as on my 20 May 2020 my 20th year when i landed in icu due to huge headache 
backpain and blackouts which was discovered that swollen brain was the result so coma + 1 heart 
attack and then just went crazy lost wait and 11 month later was told disabled pensioner of telkom from 
42% brain damage called Herpes Zoster Enchylitis but now due to my good speaking and living with 
reading and writing the doctors now say i had suffered from satellite working that attacks via radiation"
,,"Best for everyone who misguided by symptons whole history & didn't know precautions measured... 
really very well app"
,,"Very good. It is important to have, at the end, accurate information of all the diseases which affect 
humand. Thanks."
,,"Excellent, it really helps non clinicals to understand our health conditions."
,,"The descriptions were very clear & concise (no heavy medical jargon).The causes clear & adequate 
in detail,as well as the teatment options, very good without drifting in to Specialist teritorry."
,,"This is one of the best apps for any medical or paramedical student to download. It's explanations 
are very easy to understand and retain."
,,"It works excellent even in offline mode which is more happy to use !!!☺☺and i highly recommend 
you all this !!! It is really good and useful!"
,,I see it very useful especially in responding and prevention of sicknesses.
,,"I think this app is very helpful in management of diseases, and it has impacted positively on my life. Thanks."
,,Excellent description so that even common man can get an idea how to Preserve him healthy
,,Very useful to me . Always reading through
,,"Very informative. Pity that we have to tolerate the interruptive ads though, but we can live with that. Thanks."
,,"Great and quite informative, educative as well as timely"
,,Very fast to install and it opens fast.
,,"Very good app, easy to understand and can be use offline."
,,"Very informative and concise for the specialist, who has strayed from mainstream general practice."
,,Difficult to read due to small size letters or text
,,"The app is very good. Just that it doesn't have option to search while offline and it doesn't have 
some diseases. But it's actually ok"
,,"Very very useful, but nothing on AIDS online. I wish you add more useful aids for offline users. 
More grease to your elbows!"
,,"Worst APP that one can come across with Full Page Ads that doesn't allow even one second to read. 
Don't waste your Megabites by Installing it."
,,"The app is great and helpful. With this app, you don't need to see your doctor always."
,,"I like this app very well,it can help in solving any kinds of disease and the Treament."
,,"To me, the App provides knowledge, information and is generally good to health care providers and the general public.thanks."
,,Thia is a very useful app I was able to learn about diabetes in few minutes and there's is a lot to learn about diseases. Thank you
,,The detailed explanation of each of the disease conditions is awesome!!! Very enlightening and educative
,,Excellent app. Very informative and helpfull . i suggest to enable the app to zoom in or enlarge pages.
,,"Very helpful, things I read about are very interesting to know which I never knew before, so yes I like it."
,,"It's very useful to have a primafacie understanding of diceas. The most helpful part is Preventive 
suggestions. Though the subject is not exhaustive it can be used as as Quck reference guide 
VISWANADHAM . Kasi"
,,It's ok and bit helpful for the virus that is going around.
,,"This app has a very educative content, quite elaborate and clearly understandable descriptions. I like it."
,,Very good referral work. Quite knowledgeable on the go
,,Fast to locate and the explanation is simple and clear.
,,Very Informative and easy to follow for medical personnel or patients.
,,"Absolutely rubbish you have to sign up to ads and they need excess to private data on your phone 
before you can use it."
,,"Very little subjects in categories section, very poor app."
,,Great app. Good for people far away good hospitals
,,"The app is very helpful but when working with internet connection there are so many advertisement 
which are irrelevant that makeing this app to get low rating"
,,Good app. Very useful and informative. Too many ads though.
,,"Not good enough. The app doesnt open, but keeps redirecting me to go offline which is weird."
,,"Prevention is better than cure,and so Desease treament app gives you one hell of an advantage and 
understand the progress of our breath.TO AVOID THE LAST ONE AT ANY COST..."
,,"Very helpful, useful it's good for both home and school use and is user-friendly."
,,There is still need for improvement. Some diease is not included yet
,,Very easy to use but the medical terms need to be simplified for the ordinary man.
,,"Highly informative, educative and in simple language"
,,A very good App required for usual life.
,,"Nice app,the fact that I can check for info offline makes it good."
,,Excellent app! It's the answer to many health conditions
,,"Very informative , helps me understand illnesses as well as how to take early action etc"
,,It really an amazing app I love it so much but seems like am finding it difficult to go online this days.
,,"Small app but useful app to us to be aware of what treatments, causes and prevention we have to do 
if we have these disorders/ diseases."
,,Cant open this app despite downloaded the app. Please work more on this and let there be improvement
,,Very informative and health dictionary for us all also highly essential companion.
,,"Dieses treatment application,is a new one to me and very important in the general life of my entire
 family and public.Even though I,am not a medical practitioner,but at least I,need that experience in
 present and future. It is easy to use as I,ve tried.I do appreciate the developer for for his work to the
 entire world and the universe."
,,"User friendly and very informative., I recommend it as a very vital source of medical information."
,,"These issues are very important, this app great knowledge."
,,Awesome and very knowedgefull application.
,,Please add illustration. Otherwise very informative.
,,Please add illustration. Otherwise very informative.
,,Amazing App after installing this app i see myself as a Doctor... Thank you for making This App
,,"My experience with the app has been great, the app is very helpful and educative."
,,It is very good app. Comes handy at times.
,,The app is 100% informative and covers everything deseas related.
,,Good app and the English used in is clear and understandable
,,It's very useful for nermul peoples can usualy read and understood.
,,"Good information for all Individuals which give them information they can use along with their 
Doctor's views."
,,Helpful & educational also easy to understand and follow.
,,"Woooo Am in love with this app. Though am not a nurse or doctor but I can take care of my family
 health though this"
,,Way too many ads. I didnt know what I waa clicking on.
,,Very useful at any time to have a good treatment for any person
,,"Very good application, recommend it to all doctors."
,,Very educating. It's ĺike having your Doctor in your purse. Thanks for sharing
,,"Simply mindboggling. I am so much wiser ,having reading just a few articles. Thankyou"
,,Good to learn in advance and avoid for worse.
,,Very Fine.It is not difficult to understand.widely explained.Easy to to operate.
,,"Great very useful app, worthy information in brief."
,,"Thanks, this app has been a great blessing to me and others. Please, keep this good information 
going."
,,Very easy to navigate and you may learn something new.
,,Very excellent. Well details on every illness . Good job
,,So far very helpful just that d base is mostly online
,,This app is very helpfull and highly educative. I recomend it to every medical personel.
,,"It is nice and simple, easy reading"
,,very good app we learn something out of it i like it thumps up.
,,Very helpful. Precaution of infections and its cure
,,Its good to always have on hand toread and learn when the unexpected comes!!
,,The only problem is the Ads. REMOVE ADS PLEASE
,,Great just slow on loading but other wise great app
,,Build thing most evident that could do enhancement of confidence in reading case of diseases and effective medicine therapy
,,Very helpful as a first aid kit
,,Compilation is good and wisely elaborated!
,,"It's cool, informative. Just the ads."
,,"Very informative, great insights and very educational!"
,,Treatment and prevention particulars not available .
,,inputs very useful but missed the treatment part
,,It's very clear. I like it because I need some meanings. Thanks a lot.
,,"Excellent app, ideal for medical end users."
,,Very educative. Simple to read and comprehend. The preventive measures will be useful to patients.
,,It is very conducive and easy.
,,"I liked it so much.i searched for a disease ,got the name and was directed on treatment.thanks"
,,Very helpful and please keep doing this good work. It was my first tine ooening this but i learnt a lot.
,,very useful apps like it .useful overall thanks
,,I find the app helpful. try to do away with adds
,,Very good.educative and useful app. I like it.
,,"Though scientific terms are used making it difficult for a lay person to comprehend, the application is
 very helpful"
,,Good application Some diseases not found like hypotension
,,"Enlightening, informative, easy to read, what i was looking for, yet not lenghty"
,,This app is just too educating and interesting for real!!!
,,Is very good and useful..i recommend this app for everyone especially people who sells drugs
,,Helpful. Lot of knowledge. Very nice and interesting to study.
,,"Great app for quick review. One has to understand that medical school takes years and years of 
studies and so 1 single app cannot cover everything in detail and it's presented in such a way that 
non medicos can understand. So keeping that in mind it's a great app which I am sure will improve 
over time. Keep it up guys. Just 1 issue, how can I get rid of the ads? I don't mind paying for the app."
,,"It gives good digonistic problems and expirience,and that can make you to explain better to a Doctor
 or a medical practictioner your problems you are having.i like it."
,,Very useful as a medical student...glad to have this app
,,For all paid game to install free come inbox
,,"Its very helpful and useful helps adding more biological knowledge,"
,,Exceptional service levels
,,This is best app .I cannot exlpane how much this app give benefits me I love this app and I strongly recommend to all of you guys to download it
,,A very useful and best app
,,"this app is really such of a kind.it has introduced me to all what i need to know about diseases and 
thier respective treatment"
,,Undurstandable and easy to read
,,Very efficient and easy to use
,,It covers a broad spectrum in fairl plain language.
,,"I am very pleased with your enormous research. But my worry is that names of drug eg antibiotics
 for treatment of cellulitis was not given. Thanks."
,,Nothing but good medical application. Highly recommended.
,,Fantastic app for diseases. PL. Update medicines from time to time KARTHIK MN
,,"I love this app. Just wish you could include a multiple choice test at the end of each topic. It will 
greatly help us nursing students"
,,The app explain in details all the disease you can think of.
,,It's very good app for known the disease epidomolgy and prevention of the thanks for app management
,,"I'm a diabetic now for some ten years,now on insulin injection.it is now tiresome , what could be
 the advise!"
,,"Now starting, But seems to be Very Informative:"
,,Very Educational and informative
,,"I am age of 60 +, used Movidol - MR tablets for middle finger pain while folding and releasing at 
night times. Sofar Iam healthy, No diabetes. Normal Blood Pressure. I am able to walk 8 to 10 Kms
 at a stretch. I have used 3 tablets and then stopped knowing side effects as noted herein. After 
stopping medicine i have stopped hand & fingers exercises for studying the cause of finger pain 
and rectified by stopping exercise. This Dictionary is very useful. Thanks sir, Namaste."
,,"I really like this app,it explains a lot"
,,Highly useful and simplified
,,Covers just about everything
,,"Very informative and useful application. I have found some diseases which I have never heard. Now
 I know so can help my known people for first aid. Thank you for making such nice and useful app. 
Make some more app like this. And add more information about different diseases."
,,Very much informative and educative.
,,Good information on each type of disease
,,The best app
,,Told me everything I needed to know
,,"When you're in need of some help, emergency, you can do or research and quickly get to drug store 
and buy or seek assistance."
,,Very educative and self explainatory
,,"sorry to say the most common disease of now a day high blood pressure is not included which 
ridiculous"
,,"An excellent library on human health care and mankind overall well being. An exceptionally generous 
donation to human health care and life improvement. May God bless the great minds behind this life
 saving publication! Lanre Bolade."
,,Its still good
,,very nice for unknown to know about any health problems and treatment
,,"It,s one of my best apps."
,,Very helpfull and usefull
,,Its amazing Apps.its useful alot about diseases treatment so i likeit
,,This app makes things easier for us
,,Useful and knowledgeable reference.
7,HF Smart Heart Guidelines,
,,"Usually, i rarely, or even never, rate an app but this app is defenitely worth it. Function: Easy to use. No Ads. Information provided and results: Absolutely amazing. It does not just simply give u a result and be done with it. It provides detailed resultd and tips on how to improve your health even more. Having this application is a must. You can never know when ur heart is in bad condition until it is too late. This app wont take more than a few seconds a day and it will help you avoid worst case scenarios."
,,This is the best app for giving you accurate and simple explinations on conditions/procedures involving the cardiovascular system! I highly recommend you get this app!
,,"An Exemptional App for nurses"". I can always count on it for resource whenever I need it. Thank you"
,,This is an Amazing app.😍 one can learn from experts Cardiologist about Condition & Treatments as well very helpfull for students and Doctors 😇.
,,Fantastic learning tool for healthcare professionals and patients alike
,,Cannot find Premium subscription for $2.99/ year. Installed and looked to subscribe to Premium but option doesn't seem to exist.
,,"Helped me a lot in understanding various heart conditions , one can trust this for heart related information..easy to use."
,,Great app. Provides good information about heart health and conditions.
,,With new subcription method and no method to erase any personal information I have extreme doubts of this application. I will be reporting this to Google.
